brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,gpu_brand,gpu_type,display_size,resolution_width,resolution_height
tecno,Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),79646,63,intel,core i3,2,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
tecno,Tecno Megabook T1 Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),119486,67,intel,core i7,4,16,SSD,1024,NONE,intel,integrated,15.6,1920,1080
hp,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),169652,73,amd,ryzen 5,6,8,SSD,512,NONE,amd,dedicated,15.6,1920,1080
acer,Acer Extensa EX214-53 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),132766,62,intel,core i5,12,8,SSD,512,NONE,intel,integrated,14.0,1920,1080
lenovo,Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),94885,62,amd,ryzen 3,4,8,SSD,512,NONE,amd,integrated,15.6,1920,1080
apple,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),235686,45,apple,m1,8,8,SSD,256,NONE,apple,apple,13.3,2560,1600
infinix,Infinix INBook Y2 Plus Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),116166,56,intel,core i5,4,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
asus,Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),165966,70,intel,core i5,6,8,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
hp,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),122806,60,intel,core i3,6,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
infinix,Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),199166,71,intel,core i9,14,32,SSD,1024,NONE,intel,integrated,15.6,1920,1080
dell,Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),116166,60,intel,core i3,6,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
samsung,Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),215766,68,intel,core i5,12,16,SSD,512,NONE,intel,integrated,13.3,1080,1920
msi,MSI Thin GF63 12UC-846IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graphics),175926,71,intel,core i5,8,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
asus,Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home),190534,71,amd,ryzen 7,8,16,SSD,512,NONE,amd,integrated,16.0,1920,1200
lenovo,Lenovo IdeaPad Slim 3 82H803LKIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),157666,66,intel,core i5,4,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
hp,HP Omen 16-wf1025TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),511246,85,intel,core i7,20,16,SSD,1024,NONE,nvidia,dedicated,16.1,2560,1440
lenovo,Lenovo V15 G3 IAP 82TTA08AIN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/Win11),165966,59,intel,core i7,10,16,SSD,512,NONE,intel,integrated,15.6,1920,1080
asus,Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),252286,76,intel,core i7,8,16,SSD,1024,NONE,nvidia,dedicated,15.6,1920,1080
hp,HP Victus 15-fb1017AX Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),184226,71,amd,ryzen 5,6,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
wings,Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),92926,56,intel,core i5,4,8,SSD,512,NONE,intel,integrated,15.6,1080,1920
hp,HP 255 G9 840T7PA Laptop (AMD Athlon Silver-3050U/ 4GB/ 256GB SSD/ DOS),64072,49,amd,other,2,4,SSD,256,NONE,amd,integrated,15.6,1366,768
lenovo,Lenovo V15 G4 82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),92926,59,amd,ryzen 3,4,8,SSD,512,NONE,amd,integrated,15.6,1920,1080
apple,Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 48GB/ 1TB SSD/ macOS),1327668,65,apple,m3,16,8,SSD,1024,NONE,apple,apple,16.2,3456,2234
asus,Asus Vivobook 15 X1502ZA-EJ385WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),132766,57,intel,core i3,10,8,SSD,512,NONE,intel,integrated,15.6,1920,1080
asus,Asus VivoBook 15 X1500EA-EJ311W Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),92926,57,intel,core i3,2,8,SSD,256,NONE,intel,integrated,15.6,1920,1080
acer,Acer Nitro V ANV15-51 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),258926,63,intel,core i5,8,16,SSD,512,NONE,nvidia,dedicated,15.6,1920,1080
hp,HP Victus 16-s0094AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),262246,77,amd,ryzen 7,8,16,SSD,1024,NONE,nvidia,dedicated,16.1,1920,1080
ultimus,Ultimus Elite NU14U3INF56BN-CS Laptop (10th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),66366,54,intel,core i5,4,8,SSD,512,NONE,intel,integrated,14.1,1920,1080
